source,target,weight
ER,MIP,-0.186142173894281
ER,SCNN1B,-0.286859207364099
ER,SHC3,0.568354832345346
ER,PKHD1,-0.5274418589893
ER,DAAM1,0.129987373838657
ER,PRPH,-0.384783103931534
ER,GSTTP1,-0.476340102064233
ER,SCG2,1.18716708533559
ER,SYCP2,-0.340990453062217
ER,NDST3,0.0287227170521309
ER,TBX21,-0.141631856619024
ER,NR4A1,0.402936537025619
ER,ACSS3,-0.407705266311338
ER,IL1RAP,-0.216808783262746
ER,RIC3,0.220647457015258
ER,KCNJ1,0.717134840030152
ER,GSG1L,-0.530319489695633
ER,ATP2B3,-0.365695484984396
ER,STAB1,-0.308230266454253
